trial,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_border_count,param_random_strength,param_bagging_temperature,f1_macro,accuracy
1450,600,0.16999999999999998,7,2.0,208,0.0,0.8,0.48185343590509006,0.4967595593000648
1451,700,0.18,7,1.0,224,0.0,0.9,0.4818223016013891,0.49611147116007775
1452,600,0.16999999999999998,7,2.0,216,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1453,700,0.16999999999999998,6,3.0,208,1.6,0.8500000000000001,0.47619782810283134,0.48946856772521063
1454,800,0.18,7,2.0,200,0.0,0.8,0.4801424090224476,0.49497731691510044
1455,600,0.19,7,1.0,216,0.2,0.8500000000000001,0.4792876772149885,0.4943292287751134
1456,700,0.16999999999999998,7,2.0,216,0.0,0.75,0.47994576147060775,0.49497731691510044
1457,600,0.18,7,2.0,208,0.6000000000000001,0.30000000000000004,0.48173398273111995,0.49611147116007775
1458,700,0.16999999999999998,7,3.0,200,0.0,0.9,0.48227416361802095,0.4970836033700583
1459,600,0.16999999999999998,7,2.0,216,0.4,0.8500000000000001,0.48120196231819445,0.49611147116007775
1460,800,0.16999999999999998,7,1.0,224,0.2,0.8,0.4781070246906512,0.4931950745301361
1461,700,0.18,7,3.0,208,0.0,0.8500000000000001,0.4811365120380227,0.495949449125081
1462,600,0.16999999999999998,8,2.0,200,0.0,0.9,0.4810726577445334,0.4964355152300713
1463,600,0.16999999999999998,7,2.0,208,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1464,700,0.18,7,1.0,224,0.0,0.8,0.4824887020221795,0.4967595593000648
1465,700,0.16999999999999998,7,2.0,216,0.4,0.8500000000000001,0.48120196231819445,0.49611147116007775
1466,600,0.16999999999999998,7,3.0,208,0.2,0.9,0.47871798344570166,0.4933570965651329
1467,800,0.18,7,2.0,216,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1468,600,0.16999999999999998,7,1.0,208,0.0,0.8,0.4825394646469569,0.4970836033700583
1469,700,0.16999999999999998,7,3.0,200,0.2,0.8500000000000001,0.4792944092993556,0.4944912508101102
1470,600,0.16,7,2.0,216,0.0,0.9,0.483702309409435,0.49854180168502915
1471,700,0.18,7,2.0,208,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1472,800,0.16999999999999998,7,2.0,224,0.2,0.8,0.48108163434124185,0.4962734931950745
1473,600,0.16999999999999998,7,1.0,200,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1474,800,0.16999999999999998,7,3.0,216,0.0,0.9,0.48227416361802095,0.4970836033700583
1475,700,0.16,7,2.0,208,0.2,0.8500000000000001,0.479846388347463,0.4944912508101102
1476,600,0.18,7,2.0,208,0.2,0.9500000000000001,0.4789542363985461,0.4938431626701231
1477,600,0.16999999999999998,7,1.0,216,0.0,0.8,0.4825394646469569,0.4970836033700583
1478,700,0.19,7,3.0,224,0.0,0.8500000000000001,0.4804849305785303,0.49546338302009074
1479,800,0.16999999999999998,7,2.0,208,0.2,0.8,0.48108163434124185,0.4962734931950745
1480,600,0.16,7,1.0,200,0.0,0.9,0.481895340128445,0.49611147116007775
1481,700,0.18,7,2.0,216,0.2,0.8500000000000001,0.4798046985226711,0.49546338302009074
1482,700,0.16999999999999998,7,3.0,208,0.0,0.8500000000000001,0.4813407261136715,0.49659753726506806
1483,600,0.16999999999999998,7,8.0,216,0.4,0.9,0.48035199317087535,0.4957874270900843
1484,700,0.16,7,2.0,208,3.4000000000000004,0.8500000000000001,0.4776746895287067,0.4896305897602074
1485,600,0.18,7,2.0,200,1.8,0.8,0.4777114802637734,0.4904406999351912
1486,800,0.16999999999999998,7,1.0,216,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1487,600,0.16999999999999998,7,3.0,224,0.0,0.8500000000000001,0.4813407261136715,0.49659753726506806
1488,700,0.16,4,2.0,208,0.2,0.9,0.4763310803956056,0.48979261179520417
1489,600,0.08,7,2.0,216,5.0,0.8,0.4780482720825523,0.49173687621516526
1490,700,0.18,7,5.0,200,2.0,0.8500000000000001,0.47795097985467017,0.49060272197018795
1491,600,0.16999999999999998,7,1.0,208,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1492,800,0.16999999999999998,7,2.0,208,0.0,0.75,0.47994576147060775,0.49497731691510044
1493,700,0.16,7,3.0,224,0.2,0.8,0.47994862171271296,0.4951393389500972
1494,600,0.18,7,2.0,216,0.0,0.9,0.48109831546015486,0.49659753726506806
1495,800,0.16999999999999998,6,1.0,208,0.2,0.8500000000000001,0.48005537784645913,0.49546338302009074
1496,600,0.16999999999999998,7,3.0,216,0.0,0.8500000000000001,0.4813407261136715,0.49659753726506806
1497,700,0.16,7,2.0,64,0.0,0.9,0.483702309409435,0.49854180168502915
1498,600,0.18,8,2.0,200,0.4,0.8500000000000001,0.48166593371967786,0.4962734931950745
1499,700,0.16999999999999998,7,1.0,216,0.2,0.8,0.4781070246906512,0.4931950745301361
1500,600,0.16999999999999998,7,2.0,224,0.0,0.9,0.4824381700693685,0.49724562540505507
1501,800,0.16999999999999998,5,3.0,208,0.0,0.8500000000000001,0.4796019369014058,0.49416720674011666
1502,700,0.16,7,2.0,200,0.2,0.8,0.4799739959812766,0.49497731691510044
1503,600,0.16999999999999998,7,1.0,216,0.2,0.8500000000000001,0.480805212167082,0.49497731691510044
1504,700,0.18,7,3.0,208,0.0,0.8500000000000001,0.4811365120380227,0.495949449125081
1505,600,0.16999999999999998,7,2.0,208,0.0,0.9,0.4824381700693685,0.49724562540505507
1506,800,0.16,7,2.0,216,0.0,0.8,0.4823413194903126,0.49724562540505507
1507,700,0.16999999999999998,7,2.0,200,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1508,600,0.18,7,1.0,224,0.4,0.9500000000000001,0.4786827581543638,0.4940051847051199
1509,600,0.16999999999999998,7,2.0,208,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1510,700,0.19,7,3.0,216,0.2,0.9,0.4804970462557267,0.4943292287751134
1511,600,0.16,7,2.0,208,0.0,0.8,0.4823413194903126,0.49724562540505507
1512,700,0.18,7,1.0,48,0.0,0.8500000000000001,0.4824771994481658,0.4970836033700583
1513,800,0.16999999999999998,7,3.0,128,0.2,0.8500000000000001,0.4792944092993556,0.4944912508101102
1514,600,0.16999999999999998,7,2.0,200,2.0,0.9,0.4776770490667035,0.4899546338302009
1515,700,0.16999999999999998,7,2.0,216,0.0,0.8,0.48185343590509006,0.4967595593000648
1516,600,0.12000000000000001,7,1.0,208,0.0,0.8500000000000001,0.4807655624196574,0.49546338302009074
1517,700,0.18,7,3.0,224,0.2,0.8500000000000001,0.4817185694749786,0.49740764744005184
1518,1700,0.16,7,2.0,216,0.0,0.9,0.483702309409435,0.49854180168502915
1519,600,0.16999999999999998,7,2.0,200,0.2,0.8,0.48108163434124185,0.4962734931950745
1520,800,0.16999999999999998,6,1.0,208,0.0,0.8500000000000001,0.47963125504324977,0.4951393389500972
1521,700,0.18,8,2.0,216,0.2,0.8500000000000001,0.4824559165827618,0.49740764744005184
